sinkhole_data
ID,Sinkhole,Land use,Substrate,DTS,DTM,HD,Depth to Bedrock,DTF,DWTSA,DTD
0,1,3,2,5820.93,27217.5,-13,-344,104275,1,240
1,1,3,2,6814.82,28740.6,-16,-343,104593,2,90
2,1,4,2,5499.25,27449.7,-18,-341,103620,5,510.882
3,1,3,2,8020.39,30084.3,-13,-344,105306,1,313.209
4,1,3,2,6759.86,31744.1,-13,-342,105015,2,300
5,1,3,2,7047.51,31237.9,-11,-339,104181,3,174.929
6,1,3,2,5711.36,32595.1,-14,-339,104771,3,120
7,1,3,2,6268.28,31919.9,-8,-337,103674,2,488.365
8,1,4,2,5486.31,32780.9,-12,-335,102945,1,0
9,1,3,2,3852.4,34316.9,-14,-336,104666,5,509.117
10,1,3,2,2671.35,35770.7,-15,-330,104151,4,426.38
11,1,3,2,2466.03,35728.2,-15,-333,104953,3,570.789
12,1,4,2,1845.67,36912.7,-15,-328,104352,4,636.396
13,1,2,2,1968.15,37057,-13,-324,103588,1,426.38
14,1,4,2,2723.56,36331.7,-13,-323,103031,1,216.333
15,1,4,2,865.332,38652.5,-14,-325,102780,1,391.152
16,1,3,2,127.279,39434.7,-11,-334,102991,1,420
17,1,3,2,732.393,39887,-15,-340,104640,3,276.586
18,1,3,2,1363.6,40951.7,-14,-350,102858,3,323.11
19,1,2,2,4870.17,28040.4,-14,-336,101989,1,421.07
20,1,3,2,4703.4,26934.3,-20,-337,102757,4,715.612
21,1,2,2,4700.05,27611.9,-12,-336,102111,5,300
22,1,3,2,6825.05,30182.1,-6,-337,103032,1,416.773
23,1,2,2,4233.4,27965,-11,-331,100793,2,381.838
24,1,3,2,6819.18,30303.8,-6,-336,102828,1,94.8683
25,1,2,2,6470.34,31966.1,-7,-335,101955,0,60
26,1,2,2,5604.3,32800.6,-7,-335,102415,3,534.135
27,1,2,2,6701.9,30799.8,-7,-335,102213,0,685.42
28,1,2,2,5186.53,34158.8,-7,-335,100893,0,450.999
29,1,2,2,5899.71,33225.3,-7,-335,101186,2,591.693
30,1,3,2,5105.47,34057.2,-8,-332,101539,1,636.396
31,1,3,2,3160.84,36281.7,-9,-322,101698,0,900
32,1,4,2,3189.04,36133.3,-9,-324,101975,3,657.951
33,1,3,2,2354.76,37140.7,-9,-317,102042,0,1224.13
34,1,4,2,2146.83,37458.3,-9,-321,101736,2,1072.05
35,1,2,5,2235.55,37748.4,-2,-333,100681,1,335.41
36,1,3,2,1675.98,38061.1,-5,-327,101551,1,926.121
37,1,4,2,212.132,40463,-5,-350,101214,1,797.12
38,1,4,2,342.053,39572.5,-10,-340,101916,0,442.945
39,1,2,2,2455.06,26470.6,-19,-323,99312.3,3,957.183
40,1,1,2,2040.44,26096.3,-22,-321,98946.7,2,534.135
41,1,2,2,2656.48,25827.8,-23,-327,100447,3,201.246
42,1,1,2,4842.56,29409,-7,-333,100440,1,590.931
43,1,2,2,4651.16,29220.9,-7,-333,100302,2,510
44,1,2,5,2706.33,27921.2,-1,-328,98383.3,3,873.613
45,1,2,5,3585.6,29036,0,-333,98517.6,1,657.951
46,1,4,5,3271.24,28830.4,2,-332,98134.5,2,1008.46
47,1,2,5,4554.57,29721.9,-2,-335,99507.7,1,465.725
48,1,1,5,6601.43,32912.6,2,-341,99670.6,1,123.693
49,1,2,5,5874.03,33882,5,-342,99471.3,1,390
50,1,2,5,6341.01,32650.8,7,-344,99013,1,695.845
51,1,2,5,5872.19,33507.3,8,-350,98178.7,1,180
52,1,2,5,5122.98,34684.2,3,-343,99135.4,1,823.772
53,1,3,5,4412.35,35567,2,-338,99595.4,2,1070.79
54,1,3,5,2191.85,36836.5,12,-347,97680.4,0,323.11
55,1,3,5,2382.88,36857.1,11,-346,98220.8,1,510.882
56,1,2,5,2817.13,36439.3,11,-347,98163.6,0,420
57,1,2,2,695.845,39479.2,3,-347,99826.8,1,371.079
58,1,2,2,607.454,38603.2,12,-348,98140.6,1,496.588
59,1,4,2,1315.9,38507.1,6,-345,99005.9,1,560.446
60,1,1,2,379.473,24898.8,-27,-305,96475.8,3,759.539
61,1,4,2,1087.06,25230.1,-29,-316,98344.4,3,300
62,1,2,2,499.299,23716.5,-30,-307,97402.5,1,342.053
63,1,2,2,1744.13,26646.8,-19,-321,98189.4,4,737.902
64,1,2,2,1116.47,26871.7,-14,-317,96666,6,1755.7
65,1,2,5,2373.6,28128.5,1,-326,97089.3,2,2123.23
66,1,2,5,3544.57,29505.9,3,-337,97671.6,0,990
67,1,4,5,2397.94,29657.3,7,-335,95662.4,4,1614.43
68,1,2,5,3684.02,29470.3,3,-336,97920.6,0,1041.39
69,1,2,5,4560.89,32017.1,15,-360,96332.7,1,182.483
70,1,2,5,2923.58,30477.7,15,-341,95420.3,4,912.414
71,1,2,5,4235.21,30867.6,7,-345,97377.9,0,351.141
72,1,2,5,4532.28,34457.7,12,-353,97386.6,3,364.966
73,1,2,5,5485.74,33612.3,12,-353,97656.4,0,764.853
74,1,2,5,3684.26,34889.4,18,-355,95986.9,1,984.073
75,1,2,5,2812.33,35723.7,21,-352,96064.5,1,1281.6
76,1,2,5,2002.6,36766.8,16,-349,97110.1,1,685.42
77,1,2,5,1618.05,37141.2,20,-348,97110.3,1,641.327
78,1,2,5,420,38505.6,16,-349,97601.5,0,900
79,1,2,5,510,38958.1,20,-344,95850.8,0,174.929
80,1,4,2,2704.16,22702.9,-32,-288,94794.3,6,1879.49
81,1,4,2,2698.17,23200.2,-33,-286,94042.5,7,1701.82
82,1,4,2,2080.62,23769.7,-33,-290,94363.1,5,1083.74
83,1,3,2,483.735,26792.1,-24,-307,94052,5,684.105
84,1,2,5,1697.06,25445.8,-26,-293,93316.6,3,844.808
85,1,2,5,510,26278.6,-23,-304,94449.1,5,1053.42
86,1,2,5,1106.75,28359.6,-1,-323,95006.3,7,1636.86
87,1,2,5,339.411,27543.2,-7,-307,93460.2,7,1023.96
88,1,4,2,134.164,27686.9,-24,-312,94179.9,4,1314.88
89,1,2,5,2857.73,31645.2,14,-324,93589.7,2,1356.65
90,1,2,5,2949.32,31127.1,19,-334,94436,6,458.912
91,1,2,5,3062.06,31294.6,20,-334,94396.2,6,641.327
92,1,2,5,4483.77,34006.6,-1,-330,93534.3,1,670.82
93,1,2,5,3926.22,33495.2,-5,-326,93215.7,1,648.999
